Week 1,Exercise,Link,Warm-up Sets,Working Sets,Reps,Load,RPE,Rest,Sub 1,Sub 1 Link,Sub 2,Sub Link 2,Notes,%1RM
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 4,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,Rest,,,,,Notes,%1RM
Lower #1,Deadlift,,4,1,2,,9,4-5 min,,,,,Top set! Aim for near PR. Keep form tight.,87.5-92.5%
,Deadlift,,0,3,3,,N/A,3-4 min,,,,,"Brace your lats, chest tall, pull the slack out of the bar before lifting",80%
,Sumo box squat,,2,2,8,,7,2-3 min,,,,,"If you squat high-bar, do sumo box squat. If you squat low-bar, do pause high-bar (2 sec pause)",N/A
,Pull-through,,0,3,12-15,,9,1-2 min,,,,,"Can use cable/rope or band, use your glutes to move the weight",N/A
,Leg curl,,1,3,6-8,,8,1-2 min,,,,,Do lying leg curl machine or nordic ham curl if no machine access,N/A
,Standing calf raise,,1,3,8-10,,9,1-2 min,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top",N/A
Upper #1,Barbell bench press,,3,3,6,,N/A,3-4 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up",77.5%
,Chin-up,,1,3,8-10,,8,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE",N/A
,Standing arnold dumbbell press,,1,2,10-12,,9,2-3 min,,,,,Rotate the DBs in at the bottom and out at the top,N/A
,Chest-supported dumbbell row,,1,2,12-15,,9,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!,N/A
,Face pull,,0,2,15-20,,9,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull",N/A
,Dumbbell lateral raise,,0,2,15-20,,10,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers",N/A
,Concentration bicep curl,,0,3,12-15,,9,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench,N/A
Lower #2,Back squat,,4,3,6,,N/A,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar",75%
,Good morning,,2,2,10-12,,7,2-3 min,,,,,"Same as squat stance, keep shins straight, go lighter and ""feel"" hamstrings",N/A
,Leg extension,,1,3,12-15,,9,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads",N/A
,Standing calf raise ,,0,3,15-20,,9,1-2 min,,,,,Emphasize the mind-muscle connection,N/A
,Hip abduction,,0,3,15-20,,9,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes",N/A
,V sit-up,,0,3,12-15,,9,1-2 min,,,,,Think about squeezing your upper and lower abs together,N/A
Upper #2,Overhead press,,3,3,3/3,,N/A,3-4 min,,,,,"First 3 reps strict military press (no leg drive), last 3 reps push press (use leg drive)",80%
,Single-arm lat pulldown,,1,2,10-12,,9,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in",N/A
,Barbell floor press,youtu.be/7qFp5khuoFA?t=239,2,2,12,,7,1-2 min,,,,,"Control the eccentric (don't let your elbows slam into the ground), be explosive on the way up",N/A
,Pendlay row,,1,2,10,,7,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating",N/A
,Pec flye,,0,2,15-20,,9,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM",N/A
,A1. Incline shrug,,1,2,15-20,,9,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!,N/A
,A2. Bent over reverse dumbbell flye,youtu.be/qfc70k40318?t=311,1,2,15-20,,9,30sec,,,,,"Mind-muscle connection with rear delts, sweep the weight out",N/A
,Barbell skull crusher,,1,2,8-10,,8,1-2 min,,,,,"Do these on a bench, constant tension on triceps",N/A
Lower #3,"4"" block pull",,4,2,4,,8,4-5 min,,,,,"Do block pulls from a 4"" block (can use 45lb bumper plate as a block)",N/A
,Bulgarian split squat,,1,2,12,,7,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads",N/A
,Hip thrust,,1,2,8-10,,7,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight",N/A
,Seated calf raise ,,0,3,15-20,,9,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection",N/A
,Hanging leg raise,,0,3,10-12,,8,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty",N/A
,Neck flexion/extension,,1,3,12/12,,8,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)",N/A
Upper #3,"""Flat-back"" barbell bench press",,3,3,10,,7,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.,N/A
,Eccentric-accentuated pull-up,Overhead press / push press,1,2,AMRAP,,10,2-3 min,,,,,"3 second negative on every rep, maintain controlled form for all reps",N/A
,Weighted dip,,2,2,10,,8,2-3 min,,,,,Do dumbbell floor press if no access to dip handles,N/A
,Single-arm row,,1,2,10-12,,9,1-2 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!",N/A
,EZ bar curl,,1,3,12-15,,9,1-2 min,,,,,Focus on the mind-muscle connection,N/A
,Lean-away lateral raise,,0,2,30,,10,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom",N/A
,Bicycle crunch,,0,2,10-12,,9,1-2 min,,,,,Keep your hands behind your ears,N/A
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 5,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,Rest,,,,,Notes,%1RM
